@relation training

@attribute 'Pos' {SG, PG, SF, PF, C}
@attribute 'labels' {ScoringCenter, SupportingCenter, ComboGuard, ScoringWing, VersatileForward, ShootingWing, 3-and-D-Wing, FloorGeneral}
@attribute 'fg_pct' numeric
@attribute 'avg_dist' numeric
@attribute 'fg2a_pct_fga' numeric
@attribute 'pct_fga_00_03' numeric
@attribute 'pct_fga_03_10' numeric
@attribute 'pct_fga_10_16' numeric
@attribute 'pct_fga_16_xx' numeric
@attribute 'fg3a_pct_fga' numeric
@attribute 'fg2_pct' numeric
@attribute 'fg_pct_00_03' numeric
@attribute 'fg_pct_03_10' numeric
@attribute 'fg_pct_10_16' numeric
@attribute 'fg_pct_16_xx' numeric
@attribute 'fg3_pct' numeric
@attribute 'fg2_pct_ast' numeric
@attribute 'pct_fg2_dunk' numeric
@attribute 'fg2_dunk' numeric
@attribute 'fg3_pct_ast' numeric
@attribute 'pct_fg3a_corner' numeric
@attribute 'fg3_pct_corner' numeric
@attribute 'FG' numeric
@attribute 'FGA' numeric
@attribute '3P' numeric
@attribute '3PA' numeric
@attribute '2P' numeric
@attribute '2PA' numeric
@attribute 'FT' numeric
@attribute 'FTA' numeric
@attribute 'FT%' numeric
@attribute 'ORB' numeric
@attribute 'DRB' numeric
@attribute 'TRB' numeric
@attribute 'AST' numeric
@attribute 'STL' numeric
@attribute 'BLK' numeric
@attribute 'PF' numeric
@attribute 'PTS' numeric
@attribute 'ORtg' numeric
@attribute 'DRtg' numeric
@attribute 'PER' numeric
@attribute 'TS%' numeric
@attribute 'FTr' numeric
@attribute 'ORB%' numeric
@attribute 'DRB%' numeric
@attribute 'TRB%' numeric
@attribute 'AST%' numeric
@attribute 'STL%' numeric
@attribute 'BLK%' numeric
@attribute 'USG%' numeric
@attribute 'OBPM' numeric
@attribute 'DBPM' numeric
@attribute 'BPM' numeric
@attribute 'VORP' numeric

@data
PF,3-and-D-Wing,0.46,11.4,0.723,0.406,0.10400000000000001,0.098,0.11599999999999999,0.27699999999999997,0.526,0.665,0.349,0.37,0.325,0.289,0.506,0.126,193,0.894,0.324,0.297,7.7,16.7,1.3,4.6,6.3,12.0,3.3,4.7,0.6990000000000001,3.2,7.7,10.9,3.1,1.5,1.2,4.1,20.0,109,108,14.9,0.5329999999999999,0.285,6.9,17.4,12.0,9.7,1.5,1.9,18.3,-0.3,0.2,-0.1,2.4
PF,3-and-D-Wing,0.445,12.2,0.7509999999999999,0.32899999999999996,0.11800000000000001,0.141,0.163,0.249,0.475,0.595,0.33399999999999996,0.386,0.41,0.354,0.504,0.047,491,0.956,0.25,0.37799999999999995,9.3,20.8,1.8,5.1,7.5,15.7,4.1,5.6,0.727,2.8,7.3,10.1,3.0,1.6,0.5,5.7,24.4,102,107,14.3,0.523,0.268,6.1,16.4,11.2,10.1,1.6,0.7,23.2,-0.3,-0.9,-1.2,5.5
SF,3-and-D-Wing,0.426,11.5,0.713,0.366,0.168,0.049,0.129,0.287,0.467,0.607,0.33,0.33299999999999996,0.303,0.324,0.612,0.099,294,0.9640000000000001,0.414,0.34600000000000003,5.8,13.5,1.3,3.9,4.5,9.7,2.7,3.8,0.725,3.0,9.2,12.2,2.6,2.0,1.3,4.0,15.5,101,106,12.3,0.511,0.27899999999999997,6.6,20.4,13.5,7.7,2.0,2.0,15.7,-1.7,1.4,-0.3,5.2
SG,3-and-D-Wing,0.456,17.4,0.546,0.151,0.073,0.086,0.237,0.45399999999999996,0.493,0.6890000000000001,0.387,0.469,0.41100000000000003,0.41100000000000003,0.7759999999999999,0.018000000000000002,23,0.968,0.3,0.42200000000000004,6.7,14.7,2.7,6.7,4.0,8.0,2.1,2.5,0.848,0.5,4.6,5.1,2.3,1.3,0.5,4.3,18.3,114,111,11.4,0.578,0.17,1.1,10.0,5.6,6.9,1.3,0.8,15.1,0.1,-1.0,-0.9,1.5
SG,3-and-D-Wing,0.473,10.4,0.617,0.531,0.069,0.006999999999999999,0.012,0.38299999999999995,0.605,0.659,0.304,0.14300000000000002,0.16699999999999998,0.26,0.723,0.149,139,0.97,0.5579999999999999,0.298,4.2,8.9,0.9,3.4,3.3,5.5,1.0,2.0,0.493,2.4,6.4,8.9,1.9,1.9,1.4,4.9,10.3,110,106,9.6,0.526,0.222,5.5,14.0,9.8,5.1,1.9,2.2,9.6,-1.4,1.9,0.4,3.5
PF,3-and-D-Wing,0.414,18.3,0.39399999999999996,0.17,0.07200000000000001,0.039,0.114,0.606,0.494,0.659,0.406,0.314,0.36,0.36200000000000004,0.736,0.033,80,0.997,0.33,0.395,5.3,12.7,2.8,7.7,2.5,5.0,2.3,3.0,0.7659999999999999,2.2,6.8,8.9,2.3,1.0,0.8,4.2,15.6,112,109,11.1,0.556,0.23800000000000002,4.7,15.2,9.9,6.7,1.0,1.2,13.7,-0.2,-0.5,-0.6,3.6
SF,3-and-D-Wing,0.402,16.1,0.621,0.174,0.099,0.14,0.20600000000000002,0.379,0.433,0.589,0.414,0.389,0.34,0.35100000000000003,0.573,0.021,25,0.963,0.327,0.377,7.3,18.3,2.4,6.9,4.9,11.3,2.6,3.3,0.778,1.9,8.0,9.9,2.7,1.5,1.5,6.2,19.7,99,107,11.6,0.5,0.182,4.0,18.6,11.1,8.3,1.5,2.3,19.3,-2.0,-0.6,-2.6,-0.6
SF,3-and-D-Wing,0.44299999999999995,14.7,0.546,0.273,0.125,0.078,0.07,0.45399999999999996,0.504,0.637,0.369,0.325,0.42100000000000004,0.369,0.5710000000000001,0.025,50,0.92,0.344,0.431,7.9,17.9,3.0,8.1,4.9,9.8,3.4,4.0,0.861,1.0,5.1,6.1,2.3,0.8,0.2,3.0,22.3,105,113,12.0,0.5670000000000001,0.222,2.3,11.4,6.8,7.3,0.8,0.3,19.8,-0.2,-2.6,-2.7,-1.1
SF,3-and-D-Wing,0.452,12.4,0.8220000000000001,0.321,0.081,0.138,0.282,0.17800000000000002,0.475,0.591,0.33799999999999997,0.39899999999999997,0.418,0.34600000000000003,0.441,0.054000000000000006,969,0.7859999999999999,0.115,0.353,12.4,27.5,1.7,4.9,10.7,22.6,8.3,10.2,0.813,2.5,6.8,9.3,4.4,1.5,0.7,4.1,34.9,108,108,20.9,0.544,0.371,5.6,15.1,10.4,16.2,1.5,1.0,31.4,2.5,-1.2,1.3,29.4
SF,3-and-D-Wing,0.392,18.4,0.466,0.14800000000000002,0.065,0.067,0.187,0.534,0.414,0.593,0.29600000000000004,0.257,0.371,0.37200000000000005,0.642,0.005,5,0.9590000000000001,0.324,0.374,6.6,16.8,3.3,9.0,3.2,7.8,2.3,3.2,0.7290000000000001,1.3,5.7,7.1,1.9,1.5,0.4,4.9,18.8,101,108,10.1,0.517,0.18899999999999997,3.0,12.9,7.9,5.7,1.5,0.6,17.7,-1.5,-1.9,-3.4,-1.2
